insert into atividade_extracurricular values (701, 'Vitor', '2000-04-15', '2014-09-01', 2957);
insert into atividade_extracurricular values (702, 'João', '2003-10-26', '2007-11-05', 7240);
insert into atividade_extracurricular values (703, 'Theodoro', '2015-07-11', '2016-12-10', 8340);
insert into atividade_extracurricular values (704, 'João', '2005-11-05', '2008-10-02', 3280);
insert into atividade_extracurricular values (705, 'Davi', '2004-02-23', '2012-01-12', 6090);
insert into atividade_extracurricular values (706, 'Gustavo', '2010-12-11', '2015-07-16', 5105);
insert into atividade_extracurricular values (707, 'José', '2006-03-23', '2017-03-14', 9909);
insert into atividade_extracurricular values (708, 'Henrique', '2007-07-20', '2013-10-22', 35);
insert into atividade_extracurricular values (709, 'Lucas', '2001-06-21', '2006-01-28', 2738);
insert into atividade_extracurricular values (710, 'Henrique', '2003-01-15', '2020-04-09', 3045);
insert into atividade_extracurricular values (711, 'Guilherme', '2016-12-06', '2020-06-06', 2371);
insert into atividade_extracurricular values (712, 'Matheus', '2004-07-20', '2020-12-04', 9959);
insert into atividade_extracurricular values (713, 'Luan', '2002-06-24', '2010-07-11', 8518);
insert into atividade_extracurricular values (714, 'Otto', '2011-04-08', '2011-07-08', 2330);
insert into atividade_extracurricular values (715, 'Lucas', '2009-04-15', '2009-09-29', 5384);
insert into atividade_extracurricular values (716, 'Felipe', '2013-02-12', '2020-09-01', 9255);
insert into atividade_extracurricular values (717, 'Samuel', '2006-09-18', '2014-11-28', 4022);
insert into atividade_extracurricular values (718, 'Emanuel', '2009-10-12', '2019-11-04', 2449);
insert into atividade_extracurricular values (719, 'Josué', '2000-10-27', '2012-06-08', 5281);
insert into atividade_extracurricular values (720, 'Lucca', '2005-11-15', '2016-04-14', 2895);
insert into atividade_extracurricular values (721, 'João', '2004-04-14', '2012-12-26', 8526);
insert into atividade_extracurricular values (722, 'João', '2014-04-30', '2018-05-28', 4729);
insert into atividade_extracurricular values (723, 'Gabriel', '2002-01-05', '2011-09-05', 782);
insert into atividade_extracurricular values (724, 'Miguel', '2006-10-13', '2017-03-06', 63);
insert into atividade_extracurricular values (725, 'Ryan', '2000-05-15', '2006-05-16', 6231);
insert into atividade_extracurricular values (726, 'Isaac', '2002-08-22', '2010-03-17', 8267);
insert into atividade_extracurricular values (727, 'Benjamin', '2015-05-11', '2019-08-14', 7818);
insert into atividade_extracurricular values (728, 'Miguel', '2010-10-29', '2015-09-29', 8809);
insert into atividade_extracurricular values (729, 'Tomás', '2010-02-14', '2020-01-27', 5671);
insert into atividade_extracurricular values (730, 'Ryan', '2008-09-20', '2011-02-18', 3877);
insert into atividade_extracurricular values (731, 'Yuri', '2009-04-27', '2017-05-10', 6292);
insert into atividade_extracurricular values (732, 'Pedro', '2016-07-01', '2020-04-19', 6224);
insert into atividade_extracurricular values (733, 'Anthony', '2001-11-20', '2005-06-18', 5576);
insert into atividade_extracurricular values (734, 'Nicolas', '2008-09-03', '2016-10-19', 8380);
insert into atividade_extracurricular values (735, 'Otto', '2008-07-29', '2016-04-24', 3870);
insert into atividade_extracurricular values (736, 'Antônio', '2000-06-09', '2016-06-08', 9641);
insert into atividade_extracurricular values (737, 'Bruno', '2012-01-28', '2018-03-04', 1924);
insert into atividade_extracurricular values (738, 'Thomas', '2001-04-12', '2013-03-19', 6241);
insert into atividade_extracurricular values (739, 'Arthur', '2008-01-27', '2020-09-29', 9946);
insert into atividade_extracurricular values (740, 'Arthur', '2011-01-21', '2011-08-20', 7985);
insert into atividade_extracurricular values (741, 'João', '2003-07-25', '2006-07-18', 4251);
insert into atividade_extracurricular values (742, 'Daniel', '2010-09-08', '2016-11-14', 5008);
insert into atividade_extracurricular values (743, 'Felipe', '2002-07-15', '2019-07-05', 16);
insert into atividade_extracurricular values (744, 'João', '2012-03-28', '2016-09-24', 6574);
insert into atividade_extracurricular values (745, 'Henrique', '2003-07-09', '2005-01-24', 3047);
insert into atividade_extracurricular values (746, 'Nathan', '2013-08-25', '2016-07-13', 3758);
insert into atividade_extracurricular values (747, 'Emanuel', '2004-05-15', '2020-01-08', 4754);
insert into atividade_extracurricular values (748, 'Noah', '2009-05-24', '2017-08-24', 3303);
insert into atividade_extracurricular values (749, 'Luiz', '2002-12-18', '2008-03-22', 1342);
insert into atividade_extracurricular values (750, 'Matteo', '2000-02-20', '2000-05-18', 215);
insert into atividade_extracurricular values (751, 'Francisco', '2006-10-29', '2018-07-07', 9771);
insert into atividade_extracurricular values (752, 'Gustavo', '2009-04-23', '2012-09-28', 8083);
insert into atividade_extracurricular values (753, 'Pietro', '2015-07-21', '2019-12-02', 3434);
insert into atividade_extracurricular values (754, 'Miguel', '2005-11-21', '2008-09-07', 4077);
insert into atividade_extracurricular values (755, 'Otávio', '2008-03-31', '2016-11-21', 9155);
insert into atividade_extracurricular values (756, 'Anthony', '2000-05-22', '2018-09-25', 4003);
insert into atividade_extracurricular values (757, 'Yan', '2004-05-24', '2008-03-21', 1465);
insert into atividade_extracurricular values (758, 'Joaquim', '2001-10-23', '2017-10-24', 9658);
insert into atividade_extracurricular values (759, 'Breno', '2008-05-26', '2009-02-26', 1146);
insert into atividade_extracurricular values (760, 'Gael', '2000-08-22', '2006-08-17', 632);
insert into atividade_extracurricular values (761, 'Lucas', '2002-04-18', '2011-11-28', 9419);
insert into atividade_extracurricular values (762, 'Davi', '2007-12-30', '2018-05-31', 2863);
insert into atividade_extracurricular values (763, 'João', '2003-02-24', '2020-04-01', 8845);
insert into atividade_extracurricular values (764, 'Rodrigo', '2007-11-12', '2018-12-21', 3983);
insert into atividade_extracurricular values (765, 'Benício', '2001-01-18', '2011-10-29', 4575);
insert into atividade_extracurricular values (766, 'Lucas', '2002-02-08', '2011-02-19', 920);
insert into atividade_extracurricular values (767, 'Levi', '2000-02-06', '2009-07-24', 760);
insert into atividade_extracurricular values (768, 'Gabriel', '2011-08-14', '2012-02-25', 2338);
insert into atividade_extracurricular values (769, 'Hugo', '2007-08-13', '2010-03-06', 3308);
insert into atividade_extracurricular values (770, 'Luan', '2000-08-31', '2020-11-15', 1601);
insert into atividade_extracurricular values (771, 'Anthony', '2018-05-12', '2019-04-22', 9389);
insert into atividade_extracurricular values (772, 'Oliver', '2004-02-17', '2018-08-18', 1753);
